학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
W1,광운인되기,2016학번부터_전체필수,교필,1,1,이승영,,,,,온라인강의100 1학기_또는_2학기_이수
W3A2C1,대학영어,,교필,3,3,브라이언,월,2,수,1,
W3A1C2,대학영어,전자정보공과대학_공통,교필,3,3,로라,월,1,수,2,
W3A3C4,대학영어,,교필,3,3,로라,월,3,수,4,
W3A4C3,대학영어,,교필,3,3,마이클다우니,월,4,수,3,
W3A5C6,대학영어,,교필,3,3,김지희,월,5,수,6,
W3A6C5,대학영어,,교필,3,3,제프리,월,6,수,5,
W3B1D2,대학영어,,교필,3,3,강희원,화,1,목,2,
W3B2D1,대학영어,,교필,3,3,강희원,화,2,목,1,
W3B3D4,대학영어,,교필,3,3,켈리,화,3,목,4,
W3B4D3,대학영어,,교필,3,3,이종국,화,4,목,3,
W3B5D6,대학영어,,교필,3,3,졸지,화,5,목,6,
W3B6D5,대학영어,,교필,3,3,로렌,화,6,목,5,
W3E1E2,대학영어,,교필,3,3,이진영,금,1,금,2,
W3E3E4,대학영어,,교필,3,3,박경임,금,3,금,4,
W3E5E6,대학영어,,교필,3,3,이진영,금,5,금,6,
W3A1C2,대학영어,,교필,3,3,켈리,월,1,수,2,
W3E5E6,대학영어,,교필,3,3,토미,금,5,금,6,
W3A2C1,대학영어,자연과학대학_공통,교필,3,3,에이미,월,2,수,1,
W3A3C4,대학영어,,교필,3,3,고현아,월,3,수,4,
W3A6C5,대학영어,,교필,3,3,고현아,월,6,수,5,
W3B4D3,대학영어,,교필,3,3,브라질,화,4,목,3,
W3B5D6,대학영어,,교필,3,3,이종국,화,5,목,6,
W3E1E2,대학영어,,교필,3,3,최정윤,금,1,금,2,
W3A4C3,대학영어,정책법학대학_공통,교필,3,3,김지희,월,4,수,3,
W3A5C6,대학영어,,교필,3,3,김연정,월,5,수,6,
W3B1D2,대학영어,,교필,3,3,에이미,화,1,목,2,
W3B2D1,대학영어,,교필,3,3,브라이언,화,2,목,1,
W3B3D4,대학영어,,교필,3,3,손영희,화,3,목,4,
W3B6D5,대학영어,,교필,3,3,졸지,화,6,목,5,
W3E3E4,대학영어,,교필,3,3,제프리,금,3,금,4,
W3A1C2,융합적사고와글쓰기,소프트웨어융합대학_공통_(C1~C9),교필,3,3,전도현,월,1,수,2,
W3A2C1,융합적사고와글쓰기,,교필,3,3,전도현,월,2,수,1,
W3A5C6,융합적사고와글쓰기,,교필,3,3,정재훈,월,5,수,6,
W3A6C5,융합적사고와글쓰기,,교필,3,3,정재훈,월,6,수,5,
W3B2D1,융합적사고와글쓰기,,교필,3,3,김광섭,화,2,목,1,
W3B6D5,융합적사고와글쓰기,,교필,3,3,김영건,화,6,목,5,
W3B5D6,융합적사고와글쓰기,,교필,3,3,김영건,화,5,목,6,
W3E1E2,융합적사고와글쓰기,,교필,3,3,전형철,금,1,금,2,
W3E3E4,융합적사고와글쓰기,,교필,3,3,전형철,금,3,금,4,
W3A3C4,융합적사고와글쓰기,공과대학_공통,교필,3,3,김학현,월,3,수,4,
W3A6C5,융합적사고와글쓰기,,교필,3,3,박판식,월,6,수,5,
W3B1D2,융합적사고와글쓰기,,교필,3,3,김광섭,화,1,목,2,
W3B3D4,융합적사고와글쓰기,,교필,3,3,김영범,화,3,목,4,
W3B4D3,융합적사고와글쓰기,,교필,3,3,김영범,화,4,목,3,
W3E1E2,융합적사고와글쓰기,,교필,3,3,정영호,금,1,금,2,
W3E3E4,융합적사고와글쓰기,인문사회과학대학_공통_(R1~R5.M1~M2),교필,3,3,정우신,금,3,금,4,
W3E5E6,융합적사고와글쓰기,,교필,3,3,정우신,금,5,금,6,
W3B5D6,융합적사고와글쓰기,,교필,3,3,박성현,화,5,목,6,
W3A5C6,융합적사고와글쓰기,,교필,3,3,박판식,월,5,수,6,
W3A3C4,융합적사고와글쓰기,,교필,3,3,손미영,월,3,수,4,
W3A4C3,융합적사고와글쓰기,,교필,3,3,손미영,월,4,수,3,
W3A5C6,융합적사고와글쓰기,,교필,3,3,박성현,월,5,수,6,
W3B1D2,융합적사고와글쓰기,,교필,3,3,김문정,화,1,목,2,
W3B3D4,융합적사고와글쓰기,경영대학_공통_(B1~B6),교필,3,3,조영복,화,3,목,4,
W3A4C3,융합적사고와글쓰기,,교필,3,3,김학현,월,4,수,3,
W3B4D3,융합적사고와글쓰기,,교필,3,3,조영복,화,4,목,3,
W3B2D1,융합적사고와글쓰기,,교필,3,3,김문정,화,2,목,1,
W3A1C2,융합적사고와글쓰기,,교필,3,3,유승호,월,1,수,2,
W3B5D6,융합적사고와글쓰기,,교필,3,3,조영복,화,5,목,6,
W3A2C1,융합적사고와글쓰기,,교필,3,3,유승호,월,2,수,1,
W3A5C6,C프로그래밍,E1,교필,3,3,안영아,월,5,수,6,
W3A6C5,C프로그래밍,E2,교필,3,3,안영아,월,6,수,5,
W3B3D4,C프로그래밍,E3,교필,3,3,최희식,화,3,목,4,
W3B4D3,C프로그래밍,E4,교필,3,3,최희식,화,4,목,3,
W3B5D6,C프로그래밍,E5,교필,3,3,이쉬마노프,화,5,목,6,영어100
W3B6D5,C프로그래밍,E6,교필,3,3,이쉬마노프,화,6,목,5,영어100
W3A1C2,C프로그래밍,E7,교필,3,3,김정현,월,1,수,2,
W3A2C1,C프로그래밍,E8,교필,3,3,김정현,월,2,수,1,
W3A3C4,C프로그래밍,J1,교필,3,3,계승철,월,3,수,4,
W3A4C3,C프로그래밍,J2,교필,3,3,계승철,월,4,수,3,
W3A5C6,C프로그래밍,J3,교필,3,3,남기현,월,5,수,6,
W3E1E2,C프로그래밍,J4,교필,3,3,남기현,금,1,금,2,
W3A6C5,C프로그래밍,J5,교필,3,3,이찬수,월,6,수,5,
W3E5E6,C프로그래밍,J6,교필,3,3,이찬수,금,5,금,6,
W3A1C2,C프로그래밍,C1,교필,3,3,최강임,월,1,수,2,
W3A2C1,C프로그래밍,C2,교필,3,3,이기훈,월,2,수,1,영어50
W3A3C4,C프로그래밍,C3,교필,3,3,황호영,월,3,수,4,영어50.온라인50
W3A4C3,C프로그래밍,C4,교필,3,3,임재한,월,4,수,3,온라인50
W3A5C6,C프로그래밍,C5,교필,3,3,심우혁,월,5,수,6,
W3A6C5,C프로그래밍,C6,교필,3,3,심우혁,월,6,수,5,
W3B1D2,프로그래밍기초,C7,교필,3,3,한진섭,화,1,목,2,
W3B2D1,프로그래밍기초,C8,교필,3,3,한진섭,화,2,목,1,
W3B3D4,프로그래밍기초,C9,교필,3,3,서두옥,화,3,목,4,
W3B5D6,컴퓨팅사고,A1,교필,3,3,조수영,화,5,목,6,
W3B6D5,컴퓨팅사고,A2,교필,3,3,조수영,화,6,목,5,
W3E3E4,컴퓨팅사고,K1,교필,3,3,문만기,금,3,금,4,
W3E3E4,컴퓨팅사고,K2,교필,3,3,박세영,금,3,금,4,
W3E5E6,컴퓨팅사고,K3,교필,3,3,박세영,금,5,금,6,
W3B1D2,컴퓨팅사고,R1,교필,3,3,강호석,화,1,목,2,
W3B2D1,컴퓨팅사고,R2,교필,3,3,강호석,화,2,목,1,
W3B3D4,컴퓨팅사고,R3,교필,3,3,강사(미정),화,3,목,4,
W3B4D3,컴퓨팅사고,M1,교필,3,3,김형국,화,4,목,3,
W3E1E2,컴퓨팅사고,M2,교필,3,3,롤랜드,금,1,금,2,영어100.온라인50
W3B6D5,컴퓨팅사고,R4,교필,3,3,최상근,화,6,목,5,
W3B5D6,컴퓨팅사고,R5,교필,3,3,최상근,화,5,목,6,
W3A4C3,컴퓨팅사고,B1,교필,3,3,김형국,월,4,수,3,
W3A5C6,컴퓨팅사고,B2,교필,3,3,이화주,월,5,수,6,
W3A6C5,컴퓨팅사고,B3,교필,3,3,이화주,월,6,수,5,
W3B1D2,컴퓨팅사고,B4.B6,교필,3,3,손광철,화,1,목,2,
W3B2D1,컴퓨팅사고,B5,교필,3,3,유신우,화,2,목,1,
W3A3C4,컴퓨팅사고,N1,교필,3,3,롤랜드,월,3,수,4,영어100.온라인50
W3A2C1,컴퓨팅사고,N2,교필,3,3,김윤기,월,2,수,1,
W3A1C2,컴퓨팅사고,N1.N3.N5,교필,3,3,유신우,월,1,수,2,
W3A4C3,컴퓨팅사고,N4,교필,3,3,롤랜드,월,4,수,3,영어100.온라인50
W3A5C6,컴퓨팅사고,P1,교필,3,3,김대영,월,5,수,6,
W3E5E6,컴퓨팅사고,S1,교필,3,3,문만기,금,5,금,6,
W3E5E6,컴퓨팅사고,S2.S3,교필,3,3,김대영,금,5,금,6,
W3A1C2,컴퓨팅사고,L1~L3,교필,3,3,김보남,월,1,수,2,
W3A2C1,컴퓨팅사고,,교필,3,3,김보남,월,2,수,1,
W3A3C4,컴퓨팅사고,,교필,3,3,김보남,월,3,수,4,
Z3B5D6,공학과디자인,,교선,3,3,유미란,화,5,목,6,
Z3B6D5,공학과디자인,,교선,3,3,유미란,화,6,목,5,
Z3A1A2,공학교양세미나,1학년만_수강가능,교선,3,3,김충혁,월,1,월,2,세미나강의.소규모강의
Z3A5A6,공학교양세미나,1학년만_수강가능,교선,3,3,이승현,월,5,월,6,세미나강의.소규모강의
Z3B3D4,상상공학과표현,,교선,3,3,이보용,화,3,목,4,
Z3B4D3,상상공학과표현,,교선,3,3,이보용,화,4,목,3,
Z3A4C3,생활속의과학,,교선,3,3,김충혁,월,4,수,3,온라인50
Z3A3C4,생활속의과학,,교선,3,3,이도남,월,3,수,4,
Z3B3D4,생활속의과학,,교선,3,3,이도남,화,3,목,4,
Z3C5C6,자연교양세미나,1학년만_수강가능,교선,3,3,이영수,수,5,수,6,세미나강의.소규모강의
Z3A5C6,자연교양세미나,1학년만_수강가능,교선,3,3,김영희,월,5,수,6,세미나강의.소규모강의
Z3A2C1,컴퓨터활용,,교선,3,3,이종용,월,2,수,1,
Z3A1C2,컴퓨터활용,,교선,3,3,롤랜드,월,1,수,2,영어100
Z3A5C6,공학교양심화세미나,2~4학년_수강과목,교선,3,3,이상훈,월,5,수,6,세미나강의.소규모강의
Z3A3C4,모바일프로그래밍기초,,교선,3,3,정영희,월,3,수,4,
Z3A4C3,모바일프로그래밍기초,,교선,3,3,정영희,월,4,수,3,
Z3B3D4,수학과철학의대화,,교선,3,3,최종성,화,3,목,4,융합강의
Z3A5C6,신기술과미래사회,,교선,3,3,김충혁,월,5,수,6,온라인50
Z3A6C5,신기술과미래사회,,교선,3,3,김충혁,월,6,수,5,온라인50
Z3A3C4,인터넷활용,,교선,3,3,이상훈,월,3,수,4,온라인50
Z3E5E6,인터넷활용,,교선,3,3,김진수,금,5,금,6,
Z3E7E8E9,인터넷활용,,교선,3,3,김진수,금,7,금,8,금
Z3B6D5,자연과학사,,교선,3,3,박경순,화,6,목,5,
Z3E5E6,자연과학사,,교선,3,3,박봉주,금,5,금,6,
Z3B4D3,패러독스와논리,,교선,3,3,최종성,화,4,목,3,
Z3A3C4,환경과생태,,교선,3,3,코두루,월,3,수,4,영어100.온라인50
Z3A4C3,환경과생태,,교선,3,3,코두루,월,4,수,3,영어100.온라인50
Z3B3B4,환경문제의융합적이해,,교선,3,3,최상일,화,3,화,4,융합강의
Z3A3C4,미디어아트,,교선,3,3,이상민,월,3,수,4,
Z3A4C3,미디어아트,,교선,3,3,이상민,월,4,수,3,
Z3B5D6,산업화와환경오염,,교선,3,3,현재우,화,5,목,6,
Z3B6D5,산업화와환경오염,,교선,3,3,현재우,화,6,목,5,
Z3A3C4,정보사회와수학,,교선,3,3,김영희,월,3,수,4,융합강의
Z3E1E2,예술과과학의융합,,교선,3,3,유진희,금,1,금,2,
Z3C7C8C9,과학기술윤리,,교선,3,3,박지희,수,7,수,8,수
Z3B3B4,과학기술윤리,,교선,3,3,이재유,화,3,화,4,
Z3B1D2,과학철학의이해,,교선,3,3,박신화,화,1,목,2,
Z3B2D1,과학철학의이해,,교선,3,3,박신화,화,2,목,1,
Z3B5B6,나의역사,,교선,3,3,김희교,화,5,화,6,
Z3B7B8B9,논리적으로사고하기,,교선,3,3,이지영,화,7,화,8,
Z3D1D2,논리적으로사고하기,,교선,3,3,한길석,목,1,목,2,
Z3A3A4,논리적으로사고하기,,교선,3,3,한길석,월,3,월,4,
Z3A1A2,동서양신화읽기와변용,,교선,3,3,고경주,월,1,월,2,
Z3A5A6,동양의역사,,교선,3,3,김동찬,월,5,월,6,
Z3A7A8A9,세계화시대의역사보기,,교선,3,3,김동찬,월,7.8.9,,,
Z1B3B4,심층탐구인간의이해,,교선,1,1,김백영,화,3,화,4,옴니버스형강의
Z3B3D4,언어의이해,,교선,3,3,박성현,화,3,목,4,
Z3B1D2,유럽의과거와현재,,교선,3,3,여금미,화,1,목,2,
Z3C5C6,인간존재의이해,,교선,3,3,이지영,수,5,수,6,
Z3E1E2,인간존재의이해,,교선,3,3,이승준,금,1,금,2,
Z3A7A8A9,인문교양세미나,1학년만_수강가능,교선,3,3,김정권,월,7.8.9,,,세미나강의.소규모강의
Z3A5A6,인문교양세미나,1학년만_수강가능,교선,3,3,김인호,월,5,월,6,세미나강의.소규모강의
Z3B8B9B10,철학적사유로의초대,,교선,3,3,김상원,화,8.9.10,,,
Z3A1C2,한국문화사,,교선,3,3,김인호,월,1,수,2,
Z3B5B6,현대사회와윤리,,교선,3,3,김상원,화,5,화,6,
Z3E3E4,공감적소통연구,,교선,3,3,박지희,금,3,금,4,
Z3A7A8A9,과학기술시대의생명과신체,,교선,3,3,이승준,월,7.8.9,,,
Z3B5D6,동북아근현대사,,교선,3,3,김광열,화,5,목,6,
Z3B4D3,동아시아문학과사회,,교선,3,3,정소영,화,4,목,3,
Z3E3E4,미국의과거와현재,,교선,3,3,김민수,금,3,금,4,
Z3A5C6,미디어로읽는영어의역사,,교선,3,3,노진서,월,5,수,6,
Z3C1C2,세계도시문명사,,교선,3,3,차승현,수,1,수,2,
Z3B5B6,세계문화의이해,,교선,3,3,장수현,화,5,화,6,
Z3D5D6,인문교양심화세미나,2~4학년_수강과목,교선,3,3,김희교,목,5,목,6,세미나강의.소규모강의
Z3E1E2,인물로본한국사,,교선,3,3,윤성재,금,1,금,2,
Z3E3E4,인물로본한국사,외국인만_수강가능,교선,3,3,윤성재,금,3,금,4,외국인전용
Z3B5B6,자아의이해와문학치료,,교선,3,3,도기숙,화,5,화,6,소규모강의
Z3A3C4,한국근현대사,,교선,3,3,김백영,월,3,수,4,
Z3A1A2,한국근현대사,,교선,3,3,김정권,월,1,월,2,
Z3E3E4,뉴미디어와이미지의활용,,교선,3,3,여금미,금,3,금,4,
Z3E1E2,르네상스문화와과학,,교선,3,3,차승현,금,1,금,2,
Z3B3D4,문예작품으로읽는서양문명사,,교선,3,3,노진서,화,3,목,4,
Z3C5C6,자본주의역사,,교선,3,3,김민수,수,5,수,6,
Z3A2C1,한국과학기술문명사,,교선,3,3,김인호,월,2,수,1,
Z3A5A6,현대사상의이해,,교선,3,3,도승연,월,5,월,6,
Z3E5E6,경제와경영,,교선,3,3,송영출,금,5,금,6,
Z3C3E4,글로벌시대의쟁점과현안,,교선,3,3,전진호,수,3,금,4,
Z3E3E4,글로벌시대의쟁점과현안,,교선,3,3,남정호,금,3,금,4,
Z3B5B6,기술경영과마케팅,,교선,3,3,김찬모,화,5,화,6,
Z3D5D6,기술경영과마케팅,,교선,3,3,김찬모,목,5,목,6,
Z3E1E2,법과생활,,교선,3,3,손명지,금,1,금,2,
Z3D3D4,사회과학교양세미나,1학년만_수강가능,교선,3,3,하마처,목,3,목,4,영어100.세미나강의
Z3B1B2,사회과학교양세미나,1학년만_수강가능,교선,3,3,김일식,화,1,화,2,세미나강의.소규모강의
Z1F1F2,사회봉사1,,교선,1,2,손주영,토,1,토,2,
Z3D3D4,사회학의이해,,교선,3,3,김일환,목,3,목,4,
Z3A3C4,사회학의이해,,교선,3,3,박찬종,월,3,수,4,
Z3A1C2,생활속의경제,,교선,3,3,김일식,월,1,수,2,
Z3C5C6,생활속의경제,,교선,3,3,이수욱,수,5,수,6,
Z3A5A6,생활속의회계와세무,,교선,3,3,이수욱,월,5,월,6,
Z3B3B4,성과심리학,,교선,3,3,이정은,화,3,화,4,
Z3B5B6,성과심리학,,교선,3,3,이정은,화,5,화,6,
Z3A2C1,세계경제의이해,,교선,3,3,김일식,월,2,수,1,
Z3E1E2,인간심리의이해,,교선,3,3,김기년,금,1,금,2,
Z3E5E6,정치와현대사회,,교선,3,3,기유정,금,5,금,6,
Z3E1E2,정치와현대사회,,교선,3,3,홍지영,금,1,금,2,
Z3C3C4,한국사회의이해,외국인만_수강가능,교선,3,3,박수경,수,3,수,4,외국인전용
Z3C5C6,한국사회의이해,외국인만_수강가능,교선,3,3,박수경,수,5,수,6,외국인전용
Z3B1B2,21세기동아시아사회의이해,,교선,3,3,공준환,화,1,화,2,
Z3B3B4,21세기동아시아사회의이해,,교선,3,3,공준환,화,3,화,4,
Z3A5A6,국가와행정,,교선,3,3,최영훈,월,5,월,6,
Z3A1A2,국가와행정,,교선,3,3,서승현,월,1,월,2,
Z3E1A2,기업과경영,,교선,3,3,조규진,금,1,월,2,
Z3B5D6,미디어활용과생활,,교선,3,3,레이몬드,화,5,목,6,영어100
Z3B6D5,미디어활용과생활,,교선,3,3,레이몬드,화,6,목,5,영어100
Z3B5B6,범죄와사회,,교선,3,3,이종화,화,5,화,6,
Z3E3E4,법과경제,,교선,3,3,손명지,금,3,금,4,
Z3A3C4,법과권리,,교선,3,3,한재경,월,3,수,4,
Z3E1E2,법논리학,,교선,3,3,이춘원,금,1,금,2,
Z3A3C4,조직과리더쉽,,교선,3,3,손주영,월,3,수,4,
Z3A4C3,조직과리더쉽,,교선,3,3,손주영,월,4,수,3,
Z2,진로탐색,,교선,2,2,김정권,,,,,온라인100
Z3B6D5,탈성장시대의사회와경제,,교선,3,3,박찬종,화,6,목,5,
Z3A4C3,현대한국사회의문제와해법,,교선,3,3,박찬종,월,4,수,3,
Z3D5D6,경제신문읽기,,교선,3,3,이은정,목,5,목,6,
Z3E5E6,경제신문읽기,,교선,3,3,이은정,금,5,금,6,
Z3B7B8B9,여성과남성,,교선,3,3,도기숙,화,7.8.9,,,온라인70
Z2D3D4,취업전략,,교선,2,2,김정권,목,3,목,4,
Z2D5D6,취업전략,,교선,2,2,김정권,목,5,목,6,
Z3B3D4,독일어1,,교선,3,3,조규희,화,3,목,4,
Z3B4D3,독일어1,,교선,3,3,조규희,화,4,목,3,
Z3A3C4,스페인어1,,교선,3,3,남영우,월,3,수,4,
Z3B3D4,스페인어1,,교선,3,3,남영우,화,3,목,4,
Z3B3B4,일본문화읽기,,교선,3,3,유양근,화,3,화,4,
Z3B5D6,일본문화읽기,,교선,3,3,권혁인,화,5,목,6,
Z3B1D2,일본어듣기와쓰기,,교선,3,3,권혁인,화,1,목,2,
Z3B6D5,일본어듣기와쓰기,,교선,3,3,권혁인,화,6,목,5,
